mouse,sex,age,cage,treatment,r0_1,r0_2,r4_1,r4_2,r8_1,r8_2
17,male,11,C-1,saline,13.68,12.38,15.08,13.82,12.46,12.4
1,male,8,C-12,saline,21.38,18.6,10.62,12.16,11.84,11.44
2,male,9,C-7,saline,25.82,25.3,19.8,17.98,13.58,13.04
3,male,10,C-5,saline,36.3,12.2,6.08,5.72,13.22,13.88
4,male,11,C-12,saline,15.24,43.06,18.18,17.18,14.6,13.68
5,male,8,C-12,Dex,16.14,17.58,6.18,5.86,15.12,14.92
6,male,9,C-7,Dex,22.2,18.8,16.28,15.08,8.48,10.9
7,male,10,C-5,Dex,38.1,28.8,16.64,13.52,16.9,17.58
8,male,11,C-12,Dex,21.08,26.92,9.56,8.62,13.2,13.34
9,male,9,C-8,Dex-H dot,20.22,20.04,13.62,12.28,15.22,14.04
10,male,9,C-8,Dex-H dot,20.32,19.64,15.26,16.44,14.5,14.38
11,male,10,C-5,Dex-H dot,16.62,16.32,11.22,11.6,8.98,9.14
12,male,11,C-1,Dex-H dot,15.78,15.88,42.76,7.9,6.9,5.62
13,male,9,C-8,Cil-Dex H dot,18.96,19.58,40.42,39.52,12.18,13.08
14,male,9,C-8,Cil-Dex H dot,14.1,11.8,14.66,14.58,10.72,12.08
15,male,10,C-5,Cil-Dex H dot,14.72,11.94,14.92,14.86,11.2,12.72
16,male,11,C-1,Cil-Dex H dot,15.52,15.44,8.88,8.2,9.28,9.86
